model,accuracy,CPU_time
dummy,0.16,0.01346185499999919
dummy,0.145,0.0006063990000004793
dummy,0.146,0.0005757020000007884
dummy,0.159,0.0006641499999986422
dummy,0.188,0.0006440370000007078
dummy,0.149,0.0005562880000002934
dummy,0.144,0.0005302849999999637
dummy,0.164,0.0005149409999987142
dummy,0.16,0.00047709600000089836
dummy,0.162,0.0006298450000006284
svn,0.228,4242.0385149310005
svn,0.24,4285.046239588
svn,0.249,4245.070840692
svn,0.264,4234.897534155001
svn,0.225,4241.5855623470015
svn,0.237,4246.936654416997
svn,0.226,4992.004865572999
svn,0.254,4231.401734809999
svn,0.243,4653.083050866
svn,0.248,4284.095301396999
cnn,0.15542827546596527,615.2146685420012
cnn,0.15542827546596527,614.6044331289959
cnn,0.15542827546596527,615.1188162000035
cnn,0.15542827546596527,615.5423425510016
cnn,0.15542827546596527,616.0895207670037
cnn,0.15542827546596527,619.2436665079949
cnn,0.15542827546596527,619.4802356720029
cnn,0.15542827546596527,612.7397087319987
cnn,0.15542827546596527,612.3295981299962
cnn,0.15542827546596527,611.5818006000045
transfer,0.6329081058502197,165.8630255359967
transfer,0.6329081058502197,166.40976638899883
transfer,0.6329081058502197,165.08243990100164
transfer,0.6329081058502197,168.43776380499912
transfer,0.6329081058502197,168.0189977820046
transfer,0.6329081058502197,168.9176724899953
transfer,0.6329081058502197,167.8381025310009
transfer,0.6329081058502197,167.23742419300106
transfer,0.6329081058502197,166.67875313900004
transfer,0.6329081058502197,167.2021740440032
cnn,0.14900000393390656,95.38201673000003
cnn,0.15000000596046448,163.86892271699617
cnn,0.13500000536441803,160.8429082319999
cnn,0.16099999845027924,159.00971520399617
cnn,0.15000000596046448,161.90807135499927
cnn,0.17800000309944153,159.94355169699702
cnn,0.15600000321865082,158.51422901799378
cnn,0.14900000393390656,160.40279077499872
cnn,0.164000004529953,159.0474793159956
cnn,0.16099999845027924,158.3861293489972
transfer,0.6230000257492065,41.76291545799904
transfer,0.628000020980835,41.7241216600014
transfer,0.6240000128746033,43.11857651500031
transfer,0.6320000290870667,43.42125654799747
transfer,0.6359999775886536,42.912108684002305
transfer,0.6460000276565552,42.33006921500055
transfer,0.6200000047683716,42.00818153
transfer,0.6330000162124634,39.27419438999641
transfer,0.628000020980835,38.498422513999685
transfer,0.6320000290870667,40.10037717600062
